nickname,steam_id64,segment
You Know My Name,76561197991891226,ru-speaking-public:ru:opendota-proPlayers
Dr.ocher,76561198004878328,ru-speaking-public:ru:opendota-proPlayers
Fell Omen,76561198006503498,ru-speaking-public:ru:opendota-proPlayers
OV3R,76561198010069907,ru-speaking-public:ru:opendota-proPlayers
puvil,76561198017722307,ru-speaking-public:ua:opendota-proPlayers
Hope dies last,76561198017843838,ru-speaking-public:kz:opendota-proPlayers
DIMA_FU,76561198021141350,ru-speaking-public:ru:opendota-proPlayers
RUNA,76561198024080857,ru-speaking-public:ru:opendota-proPlayers
Just1blossom 王,76561198028245666,ru-speaking-public:ru:opendota-proPlayers
vb,76561198028819357,ru-speaking-public:ru:opendota-proPlayers
prime 2k22,76561198031890025,ru-speaking-public:ru:opendota-proPlayers
Dukalis,76561198033666810,ru-speaking-public:ru:opendota-proPlayers
SKYEEERINO?!?,76561198041617241,ru-speaking-public:ru:opendota-proPlayers
CH,76561198042568371,ru-speaking-public:ru:opendota-proPlayers
pt1chkin雨,76561198045404192,ru-speaking-public:ru:opendota-proPlayers
Resolut1on,76561198046990903,ru-speaking-public:ua:opendota-proPlayers
Enrage - турниры dota 2,76561198049659193,ru-speaking-public:ru:opendota-proPlayers
Bulbing,76561198054315317,ru-speaking-public:by:opendota-proPlayers
1nonly,76561198056449704,ru-speaking-public:kz:opendota-proPlayers
ушел из троллинга,76561198057367290,ru-speaking-public:ru:opendota-proPlayers
Ненавижу аккбаеров,76561198057999340,ru-speaking-public:ru:opendota-proPlayers
majorefedore,76561198057999947,ru-speaking-public:ua:opendota-proPlayers
科斯马,76561198062443685,ru-speaking-public:by:opendota-proPlayers
Yellow,76561198063580782,ru-speaking-public:ru:opendota-proPlayers
classic,76561198063990909,ru-speaking-public:ua:opendota-proPlayers
sc.com/wannatobeasuperstarclub,76561198067229581,ru-speaking-public:ru:opendota-proPlayers
whyn010,76561198069108808,ru-speaking-public:ru:opendota-proPlayers
awesomesauce,76561198072113396,ru-speaking-public:ru:opendota-proPlayers
HeroToZero,76561198072589913,ru-speaking-public:ru:opendota-proPlayers
yay,76561198072736675,ru-speaking-public:ru:opendota-proPlayers
nn_,76561198073377774,ru-speaking-public:ru:opendota-proPlayers
nefrit,76561198076514883,ru-speaking-public:ua:opendota-proPlayers
main character,76561198077199743,ru-speaking-public:ru:opendota-proPlayers
Ak,76561198077687195,ru-speaking-public:uz:opendota-proPlayers
FR1CE,76561198078989566,ru-speaking-public:ru:opendota-proPlayers
пацан,76561198080122933,ru-speaking-public:ru:opendota-proPlayers
☏,76561198084053443,ru-speaking-public:by:opendota-proPlayers
miss atomic bomb,76561198084551891,ru-speaking-public:kz:opendota-proPlayers
TNNG,76561198085591436,ru-speaking-public:ru:opendota-proPlayers
WMakeLove,76561198086367117,ru-speaking-public:ua:opendota-proPlayers
Fishman.gg,76561198087831260,ru-speaking-public:by:opendota-proPlayers
Гиро в булочке,76561198088061015,ru-speaking-public:ru:opendota-proPlayers
digitalguilt,76561198088726123,ru-speaking-public:ru:opendota-proPlayers
zxc BEA$T TiLTED,76561198088830764,ru-speaking-public:ru:opendota-proPlayers
;;;,76561198089727691,ru-speaking-public:ru:opendota-proPlayers
aurele,76561198090388929,ru-speaking-public:ru:opendota-proPlayers
Polimeph ♥ 秋 姫,76561198092863067,ru-speaking-public:ru:opendota-proPlayers
sa/na server=trash enjoy dota)),76561198093117099,ru-speaking-public:ru:opendota-proPlayers
bog666,76561198093295778,ru-speaking-public:ru:opendota-proPlayers
SOLOLINEABUSE,76561198094822422,ru-speaking-public:ru:opendota-proPlayers
